latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
49.94572,-121.49382,306.61,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.07,0.79,N
49.94874,-121.44982,339.88,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,289.24,3.99,N
49.95071,-121.45007,325.72,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.99,1.89,N
49.95096,-121.45605,311.11,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.02,2.23,N
49.92882,-121.50531,301.71,0.59,0.53,2026-07-06,1113,N,VIIRS,n,2.0NRT,284.99,1.96,N
49.93526,-121.50919,304.84,0.59,0.53,2026-07-06,1113,N,VIIRS,n,2.0NRT,285.51,2.99,N
49.93909,-121.48457,300.3,0.59,0.53,2026-07-06,1113,N,VIIRS,n,2.0NRT,284.85,1.62,N
49.94042,-121.45095,299.52,0.59,0.53,2026-07-06,1113,N,VIIRS,n,2.0NRT,284.18,1.11,N
49.94339,-121.44239,311.66,0.59,0.53,2026-07-06,1113,N,VIIRS,n,2.0NRT,283.98,1.91,N
49.94514,-121.44865,312.03,0.59,0.53,2026-07-06,1113,N,VIIRS,n,2.0NRT,286.43,1.91,N
49.94836,-121.46014,316.32,0.59,0.53,2026-07-06,1113,N,VIIRS,n,2.0NRT,285.27,3.12,N
49.94947,-121.44493,302.06,0.59,0.53,2026-07-06,1113,N,VIIRS,n,2.0NRT,285.16,1.91,N
49.95113,-121.45087,324.17,0.59,0.53,2026-07-06,1113,N,VIIRS,n,2.0NRT,287.05,3.12,N
49.95297,-121.45747,300.31,0.59,0.53,2026-07-06,1113,N,VIIRS,n,2.0NRT,285.0,3.12,N
49.88987,-121.47431,332.79,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,299.79,108.38,D
49.89314,-121.47552,367.0,0.38,0.36,2026-07-06,2059,N,VIIRS,h,2.0NRT,356.54,108.38,D
49.89397,-121.47018,337.1,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,305.84,32.25,D
49.89468,-121.47867,367.0,0.38,0.36,2026-07-06,2059,N,VIIRS,h,2.0NRT,356.74,179.1,D
49.89549,-121.4733,367.0,0.38,0.36,2026-07-06,2059,N,VIIRS,h,2.0NRT,337.74,179.1,D
49.89714,-121.48523,347.25,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,308.23,26.44,D
49.89795,-121.47987,367.0,0.38,0.36,2026-07-06,2059,N,VIIRS,h,2.0NRT,329.73,179.1,D
49.89876,-121.47453,341.58,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,302.53,179.1,D
49.90037,-121.46384,344.79,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,304.02,5.66,D
49.90041,-121.48643,344.4,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,313.39,37.74,D
49.90368,-121.48765,345.63,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,308.87,37.74,D
49.90448,-121.48229,348.78,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,302.2,20.3,D
49.91594,-121.49773,342.5,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,307.13,18.5,D
49.91674,-121.49237,355.5,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,306.14,18.5,D
49.91756,-121.48701,345.36,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,304.2,10.96,D
49.9192,-121.4989,348.86,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,300.38,9.25,D
49.92411,-121.51191,329.73,0.38,0.36,2026-07-06,2059,N,VIIRS,l,2.0NRT,300.77,26.56,D
49.92492,-121.50661,367.0,0.38,0.36,2026-07-06,2059,N,VIIRS,l,2.0NRT,331.31,26.56,D
49.92573,-121.50128,346.34,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,301.16,11.31,D
49.92819,-121.5078,348.78,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,300.66,26.56,D
49.93635,-121.47688,329.69,0.38,0.36,2026-07-06,2059,N,VIIRS,l,2.0NRT,300.11,3.33,D
49.93799,-121.51134,353.88,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,303.56,18.01,D
49.93881,-121.50599,340.79,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,303.23,13.84,D
49.93962,-121.47808,333.93,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,298.79,3.33,D
49.94036,-121.45055,332.8,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,304.79,6.04,D
49.94044,-121.49529,341.5,0.38,0.36,2026-07-06,2059,N,VIIRS,n,2.0NRT,300.45,5.71,D
